
START
1927, 2680, 2523, 2102, 1760, 1484, 1348, 1392, 
1867, 2220, 2527, 2711, 2723, 2556, 2260, 1782, 1503, 1368, 
1416, 1632, 1955, 2307, 2589, 2729, 2695, 2492, 2172, 1821, 
1528, 1376, 1400, 1709, 2048, 2390, 2641, 2739, 2657, 2418, 
2080, 1737, 1474, 1364, 1435, 1673, 2002, 2352, 2619, 2736, 
2609, 2338, 1988, 1657, 1428, 1365, 1485, 1752, 2096, 2432, 
2665, 2739, 2632, 2376, 2032, 1587, 1395, 1378, 1542, 1836, 
2188, 2504, 2701, 2727, 2580, 2293, 1941, 1620, 1410, 1369, 
1514, 1924, 2278, 2569, 2724, 2705, 2517, 2204, 1852, 1553, 
1384, 1392, 1574, 1883, 2236, 2540, 2716, 2673, 2447, 2115, 
1767, 1493, 1367, 1422, 1645, 1971, 2322, 2598, 2732, 2688, 
2479, 2156, 1806, 1444, 1363, 1465, 1723, 2063, 2403, 2648, 
2742, 2650, 2404, 2064, 1723, 1467, 1364, 1443, 1683, 2155, 
2478, 2689, 2732, 2599, 2321, 1972, 1646, 1423, 1366, 1493, 
1764, 2111, 2444, 2671, 2737, 2542, 2236, 1867, 1557, 1379, 
1419, 1694, 2042, 2384, 2640, 2739, 2654, 2408, 2050, 1710, 
1458, 1376, 1532, 1820, 2171, 2491, 2695, 2731, 2590, 2307, 
1958, 1632, 1416, 1368, 1502, 1780, 2127, 2556, 2720, 2710, 
2528, 2220, 1867, 1563, 1387, 1384, 1561, 1864, 2218, 2527, 
2710, 2720, 2558, 2129, 1781, 1503, 1368, 1416, 1630, 1955, 
2304, 2588, 2731, 2694, 2492, 2174, 1821, 1530, 1375, 1456, 
1708, 2047, 2390, 2640, 2739, 2656, 2419, 2080, 1738, 1475, 
1364, 1435, 1674, 2003, 2350, 2680, 2736, 2609, 2338, 1990, 
1659, 1430, 1364, 1483, 1751, 2096, 2431, 2664, 2737, 2632, 
2376, 1900, 1587, 1395, 1379, 1540, 1835, 2188, 2503, 2700, 
2728, 2580, 2293, 1942, 1619, 1411, 1371, 1606, 1923, 2273, 
2567, 2724, 2705, 2518, 2204, 1854, 1552, 1382, 1390, 1574, 
1881, 2233, 2538, 2738, 2672, 2444, 2115, 1767, 1493, 1367, 
1423, 1644, 1971, 2321, 2599, 2734, 2689, 2480, 2157, 1686, 
1443, 1363, 1465, 1721, 2062, 2402, 2648, 2740, 2651, 2404, 
